Active Date,COUNTY,SED CODE,LEGAL NAME,INSTITUTION TYPE CODE,INSTITUTION TYPE DESCRIPTION,INSTITUTION SUB TYPE CODE,INSTITUTION SUB TYPE DESCRIPTION,NEEDS RESOURCE CODE,NEEDS RESOURCE DESCRIPTION,GRADE ORGANIZATION CODE,GRADE ORGANIZATION DESCRIPTION,COMMUNITY TYPE CODE,COMMUNITY TYPE DESCRIPTION,MAILING ADDRESS,MAIL CITY,STATE,ZIP,SALUTATION,CEO FIRST NAME,CEO LAST NAME,CEO_PHONE,CEO EMAIL,
07/01/2005,NEW YORK,310100860866,GIRLS PREPARATORY CHARTER SCHOOL OF NEW YORK,17,PUBLIC SCHOOLS,11,CHARTER SCHOOL,7,CHARTER SCHOOL,1,Elementary,71,NEW YORK CITY,442 E HOUSTON ST-RM 312,NEW YORK,NY,10002,MS.,VERSHA,MUNSHI-SOUTH,2123880241,vmunshi-south@girlsprep.org,
07/01/2005,NEW YORK,310100860873,MANHATTAN CHARTER SCHOOL,17,PUBLIC SCHOOLS,11,CHARTER SCHOOL,7,CHARTER SCHOOL,1,Elementary,71,NEW YORK CITY,100 ATTORNEY ST,NEW YORK,NY,10002,MS.,GENIE,DEPOLO,2125332743,gdepolo@manhattancharterschool.org,
07/01/2012,NEW YORK,310100861031,MANHATTAN CHARTER SCHOOL II,17,PUBLIC SCHOOLS,11,CHARTER SCHOOL,7,CHARTER SCHOOL,1,Elementary,71,NEW YORK CITY,220 HENRY ST,NEW YORK,NY,10002,MS.,CARISSA,PAGE,2129643792,cpage@manhattancharterschool.org,
07/01/2013,NEW YORK,310100861055,GREAT OAKS CHARTER SCHOOL,17,PUBLIC SCHOOLS,11,CHARTER SCHOOL,7,CHARTER SCHOOL,3,Junior High,71,NEW YORK CITY,38 DELANCEY ST-3RD FL,NEW YORK,NY,10002,MS.,LIZA,LEVINE,2122335152,llevine@greatoakscharter.org,
07/01/2015,NEW YORK,310100996213,PATHWAYS CHILDREN'S SERVICES,14,NON-PUBLIC SCHOOLS,21,INDEPENDENT,,,,,,,273 BOWERY,NEW YORK,NY,10002,MS.,SARA,NAEGELE,2124755008,snaegele@pathwayschildrensservices.org,
07/01/1980,NEW YORK,310200010002,PS 2 MEYER LONDON,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,1,Elementary,71,NEW YORK CITY,122 HENRY ST,NEW YORK,NY,10002,MS.,BESSIE,NG,2129640350,bng2@schools.nyc.gov,
07/01/1980,NEW YORK,310200010042,PS 42 BENJAMIN ALTMAN,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,1,Elementary,71,NEW YORK CITY,71 HESTER ST,NEW YORK,NY,10002,MS.,MAY,LEE,2122268410,mlee4@schools.nyc.gov,
07/01/1980,NEW YORK,310200010124,PS 124 YUNG WING,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,1,Elementary,71,NEW YORK CITY,40 DIVISION ST,NEW YORK,NY,10002,MS.,ALICE,HOM,2129667237,ahom2@schools.nyc.gov,
07/01/2003,NEW YORK,310200010131,MS 131,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,2,Middle,71,NEW YORK CITY,100 HESTER ST,NEW YORK,NY,10002,MS.,PHYLLIS,TAM,2122191204,ptam@schools.nyc.gov,
07/01/2004,NEW YORK,310200011294,ESSEX STREET ACADEMY,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,5,Senior High,71,NEW YORK CITY,350 GRAND ST,NEW YORK,NY,10002,MS.,ERIN,CARSTENSEN,2124754773,ecarstensen@schools.nyc.gov,
07/01/2004,NEW YORK,310200011298,PACE HIGH SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,5,Senior High,71,NEW YORK CITY,100 HESTER ST,NEW YORK,NY,10002,MR.,ERIC,GLATZ,2123344663,eglatz@schools.nyc.gov,
07/01/2005,NEW YORK,310200011305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,5,Senior High,71,NEW YORK CITY,350 GRAND ST,NEW YORK,NY,10002,MS.,ALISON,BREEDY,2125050745,abreedy@schools.nyc.gov,
07/01/2005,NEW YORK,310200011308,LOWER MANHATTAN ARTS ACADEMY,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,5,Senior High,71,NEW YORK CITY,350 GRAND ST,NEW YORK,NY,10002,MR.,JOHN,WENK,2125050143,jwenk@schools.nyc.gov,
07/01/2009,NEW YORK,310200011394,EMMA LAZARUS HIGH SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,5,Senior High,71,NEW YORK CITY,100 HESTER ST,NEW YORK,NY,10002,MS.,MELODY,KELLOGG,2129255017,mdkello@schools.nyc.gov,
07/01/2003,NEW YORK,310200011543,NEW DESIGN HIGH SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,5,Senior High,71,NEW YORK CITY,350 GRAND ST,NEW YORK,NY,10002,MR.,SCOTT,CONTI,2124754148,sconti@schools.nyc.gov,
07/01/2003,NEW YORK,310200011545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,5,Senior High,71,NEW YORK CITY,350 GRAND ST,NEW YORK,NY,10002,MR.,LI,YAN,2124754097,lyan@schools.nyc.gov,
07/01/1980,NEW YORK,310200226798,MESIVTA TIFERETH JERUSALEM,14,NON-PUBLIC SCHOOLS,16,JEWISH,,,6,K-12,71,NEW YORK CITY,145 E BROADWAY,NEW YORK,NY,10002,RABBI,Y,GINZBERG,2129642830,ysgin@aol.com,
07/01/2003,NEW YORK,307500011226,PS 226,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,4,Junior-Senior High,71,NEW YORK CITY,345 E 15TH ST-RM 202,NEW YORK,NY,10003,MS.,RACHELLE,KLAINBERG,2124775017,rklainb@schools.nyc.gov,
07/01/1980,NEW YORK,307500011751,MANHATTAN SCHOOL FOR CAREER DEVELOPMENT,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,5,Senior High,71,NEW YORK CITY,113 E 4TH ST,NEW YORK,NY,10003,MS.,EWA,ASTERITA,2124772090,easterita@schools.nyc.gov,
07/01/1980,NEW YORK,310100010019,PS 19 ASHER LEVY,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,1,Elementary,71,NEW YORK CITY,185 1ST AVE,NEW YORK,NY,10003,MS.,JACQUELINE,FLANAGAN,2125335340,jflanagan@schools.nyc.gov,
07/01/2005,NEW YORK,310100010301,"TECHNOLOGY, ARTS AND SCIENCES STUDIO SCHOOL",17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,2,Middle,71,NEW YORK CITY,185 1ST AVE,NEW YORK,NY,10003,MR.,GEORGE,MORGAN,2129821836,gmorgan@schools.nyc.gov,
07/01/1980,NEW YORK,310100145336,LA SALLE ACADEMY,14,NON-PUBLIC SCHOOLS,11,ROMAN CATHOLIC - ARCHDIOCESE OF NY,,,5,Senior High,71,NEW YORK CITY,215 E 6TH ST,NEW YORK,NY,10003,BROTHER,WILLIAM,JOHNSON,2124758940,wjohnson@lasalleacademy.org,
07/01/1980,NEW YORK,310100147414,SAINT GEORGE ACADEMY,14,NON-PUBLIC SCHOOLS,11,ROMAN CATHOLIC - ARCHDIOCESE OF NY,,,5,Senior High,71,NEW YORK CITY,215 E 6TH ST,NEW YORK,NY,10003,MR.,ANDREW,STASIW,2124733323,stasiw@sga.nyc,
07/01/2013,NEW YORK,310100996152,QUAD PREPARATORY SCHOOL (THE),14,NON-PUBLIC SCHOOLS,21,INDEPENDENT,,,4,Junior-Senior High,,,325 E 6TH ST,NEW YORK,NY,10003,MS.,ELLEN,RICHER,6466493913,ericher@quadprep.org,
07/01/2014,NEW YORK,310100996176,WORLD CLASS LEARNING ACADEMY,14,NON-PUBLIC SCHOOLS,21,INDEPENDENT,,,,,,,44 E 2ND ST,NEW YORK,NY,10003,MR.,ANDREW,FITZMAURICE,2126002010,andrew.fitzmaurice@nordanglia.com,
07/01/2003,NEW YORK,310200010040,PS 40 AUGUSTUS SAINT-GAUDENS,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,1,Elementary,71,NEW YORK CITY,319 E 19TH ST,NEW YORK,NY,10003,MS.,SUSAN,FELDER,2124755500,sfelder@schools.nyc.gov,
07/01/2003,NEW YORK,310200010255,MS 255 SALK SCHOOL OF SCIENCE,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,2,Middle,71,NEW YORK CITY,319 E 19TH ST,NEW YORK,NY,10003,MS.,RHONDA,PERRY,2126148785,rperry3@schools.nyc.gov,
07/01/2003,NEW YORK,310200010260,MS 260 CLINTON SCHOOL WRITERS & ARTISTS,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,2,Middle,71,NEW YORK CITY,10 E 15TH ST,NEW YORK,NY,10003,MR.,JONATHAN,LEVIN,2125244360,jlevin@schools.nyc.gov,
07/01/2008,NEW YORK,310200011374,GRAMERCY ARTS HIGH SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,5,Senior High,71,NEW YORK CITY,40 IRVING PL,NEW YORK,NY,10003,MS.,SUSAN,DICICCO,2122537076,sdicicco@schools.nyc.gov,
07/01/2009,NEW YORK,310200011399,HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY (THE),17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,5,Senior High,71,NEW YORK CITY,40 IRVING PL,NEW YORK,NY,10003,MS.,SARAH,HERNANDEZ,2122532480,shernan4@schools.nyc.gov,
07/01/2003,NEW YORK,310200011407,INSTITUTE FOR COLLABORATIVE EDUCATION,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,4,Junior-Senior High,71,NEW YORK CITY,345 E 15TH ST,NEW YORK,NY,10003,MR.,PETER,KARP,2124757972,pkarp@schools.nyc.gov,
07/01/2003,NEW YORK,310200011420,HIGH SCHOOL FOR HEALTH PROFESSIONS & HUMAN SERVICES,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,5,Senior High,71,NEW YORK CITY,345 E 15TH ST,NEW YORK,NY,10003,MR.,ROBERT,GENTILE,2127809175,rgentil@schools.nyc.gov,
07/01/2010,NEW YORK,310200011438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,5,Senior High,71,NEW YORK CITY,40 IRVING PL,NEW YORK,NY,10003,MR.,VADEWATIE,RAMSUCHIT,2125332560,vramsuchit@schools.nyc.gov,
07/01/2002,NEW YORK,310200011442,BALLET TECH/NYC PUBLIC SCHOOL FOR DANCE,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,1,Elementary,71,NEW YORK CITY,890 BROADWAY,NEW YORK,NY,10003,MR.,ROY,O'NEILL,2122541803,roneill2@schools.nyc.gov,
07/01/2012,NEW YORK,310200011533,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,5,Senior High,71,NEW YORK CITY,40 IRVING PL,NEW YORK,NY,10003,MR.,BERNARDO,ASCONA,2122533110,bascona@schools.nyc.gov,
07/01/2012,NEW YORK,310200011546,ACADEMY FOR SOFTWARE ENGINEERING,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,5,Senior High,71,NEW YORK CITY,40 IRVING PL,NEW YORK,NY,10003,MR.,SEUNG,YU,2122533299,syu5@schools.nyc.gov,
07/01/1989,NEW YORK,310200011575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,5,Senior High,71,NEW YORK CITY,240 2ND AVE,NEW YORK,NY,10003,MR.,MICHAEL,TOISE,2123532010,mtoise@schools.nyc.gov,
07/01/2003,NEW YORK,310200011586,HARVEY MILK HIGH SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,5,Senior High,71,NEW YORK CITY,2-10 ASTOR PL,NEW YORK,NY,10003,MS.,DAPHNE,PERRINI,2124771555,dperrin@schools.nyc.gov,
07/01/1980,NEW YORK,310200515856,GRACE CHURCH SCHOOL,14,NON-PUBLIC SCHOOLS,6,EPISCOPAL,,,4,Junior-Senior High,71,NEW YORK CITY,86 4TH AVE,NEW YORK,NY,10003,MR.,GEORGE,DAVISON,2124755609,gdavison@gcschool.org,
07/01/1980,NEW YORK,310200606536,FRIENDS SEMINARY,14,NON-PUBLIC SCHOOLS,7,QUAKERS,,,6,K-12,71,NEW YORK CITY,222 E 16TH ST,NEW YORK,NY,10003,MR.,ROBERT,LAUDER,2129795030,rlauder@friendsseminary.org,
07/01/2013,NEW YORK,310200861042,SUCCESS ACADEMY CHARTER SCHOOL-UNION SQUARE,17,PUBLIC SCHOOLS,11,CHARTER SCHOOL,7,CHARTER SCHOOL,1,Elementary,71,NEW YORK CITY,40 IRVING PL-2ND FL,NEW YORK,NY,10003,MS.,JENNIFER,WALDMAN,6467902161,jennifer.waldman@saschools.org,
07/01/2002,NEW YORK,310200999914,LEARNINGSPRING SCHOOL,14,NON-PUBLIC SCHOOLS,21,INDEPENDENT,,,7,Special,71,NEW YORK CITY,247 E 20TH ST,NEW YORK,NY,10003,MS.,MARGARET,POGGI,2122394926,mpoggi@learningspring.org,
07/01/2003,NEW YORK,310200010418,MILLENNIUM HIGH SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,5,Senior High,71,NEW YORK CITY,75 BROAD ST,NEW YORK,NY,10004,MR.,COLIN,MCEVOY,2128259008,cmcevoy3@schools.nyc.gov,
07/01/2005,NEW YORK,310200010896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,2,Middle,71,NEW YORK CITY,26 BROADWAY-6TH FL,NEW YORK,NY,10004,MS.,KELLY,MCGUIRE,6468268100,kmcguire@schools.nyc.gov,
07/01/2005,NEW YORK,310200011316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,5,Senior High,71,NEW YORK CITY,26 BROADWAY,NEW YORK,NY,10004,MS.,PATRICIA,MINAYA,2126680169,pminaya@schools.nyc.gov,
07/01/2003,NEW YORK,310200011551,URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,5,Senior High,71,NEW YORK CITY,10 SOUTH ST-SLIP 7,NEW YORK,NY,10004,DR.,JEFFREY,CHETIRKO,2124580800,jchetir@schools.nyc.gov,
07/01/1989,NEW YORK,310200011580,RICHARD R GREEN HIGH SCHOOL OF TEACHING,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,5,Senior High,71,NEW YORK CITY,26 BROADWAY,NEW YORK,NY,10004,MR.,NIGEL,PUGH,6468268174,npugh@schools.nyc.gov,
07/01/2000,NEW YORK,310200860819,JOHN V LINDSAY WILDCAT ACADEMY CHARTER SCHOOL,17,PUBLIC SCHOOLS,11,CHARTER SCHOOL,7,CHARTER SCHOOL,5,Senior High,71,NEW YORK CITY,17 BATTERY PL,NEW YORK,NY,10004,MR.,RONALD,TABANO,2122096036,rtabano@jvlwildcat.org,
07/01/2005,NEW YORK,310200995196,LEMAN MANHATTAN PREPARATORY SCHOOL,14,NON-PUBLIC SCHOOLS,21,INDEPENDENT,,,6,K-12,71,NEW YORK CITY,41 BROAD ST,NEW YORK,NY,10004,MR.,DREW,ALEXANDER,2122320266,d.alexander@lemanmanhattan.org,
07/01/2010,NEW YORK,310300996043,LANG SCHOOL (THE),14,NON-PUBLIC SCHOOLS,21,INDEPENDENT,,,1,Elementary,71,NEW YORK CITY,11 BROADWAY-STE 300,NEW YORK,NY,10004,MS.,MICAELA,BRACAMONTE,2129777777,micaela.bracamonte@thelangschool.org,
07/01/2014,NEW YORK,310200996184,PINE STREET SCHOOL,14,NON-PUBLIC SCHOOLS,21,INDEPENDENT,,,,,,,25 PINE ST,NEW YORK,NY,10005,MS.,JENNIFER,JONES,2127031636,jjones@greenivy.com,
07/01/1993,NEW YORK,310200011425,LEADERSHIP & PUBLIC SERVICE HIGH SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,5,Senior High,71,NEW YORK CITY,90 TRINITY PL,NEW YORK,NY,10006,MR.,PHILIP,SANTOS,2123460007,psantos@schools.nyc.gov,
